% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.506	1	2	51	7	1	28	1095	0
0.506	1	1	51	7	2	28	1095	0
0.507	1	2	51	8	1	28	1095	0
0.507	1	1	51	8	2	28	1095	0
0.508	1	2	51	9	1	28	1095	0
0.508	1	1	51	9	2	28	1095	0
0.509	1	2	51	10	1	28	1095	0
0.509	1	1	51	10	2	28	1095	0
0.51	1	2	52	1	1	28	1095	0
0.51	1	1	52	1	2	28	1095	0
0.511	1	2	52	2	1	28	1095	0
0.511	1	1	52	2	2	28	1095	0
0.512	1	2	52	3	1	28	1095	0
0.512	1	1	52	3	2	28	1095	0
0.513	1	2	52	4	1	28	1095	0
0.513	1	1	52	4	2	28	1095	0
0.514	1	2	52	5	1	28	1095	0
0.514	1	1	52	5	2	28	1095	0
0.515	1	2	52	6	1	28	1095	0
0.515	1	1	52	6	2	28	1095	0
0.516	1	2	52	7	1	28	1095	0
0.516	1	1	52	7	2	28	1095	0
0.517	1	2	52	8	1	28	1095	0
0.517	1	1	52	8	2	28	1095	0
0.518	1	2	52	9	1	28	1095	0
0.518	1	1	52	9	2	28	1095	0
0.519	1	2	52	10	1	28	1095	0
0.519	1	1	52	10	2	28	1095	0
0.52	1	2	53	1	1	28	1095	0
0.52	1	1	53	1	2	28	1095	0
0.521	1	2	53	2	1	28	1095	0
0.521	1	1	53	2	2	28	1095	0
0.522	1	2	53	3	1	28	1095	0
0.522	1	1	53	3	2	28	1095	0
0.523	1	2	53	4	1	28	1095	0
0.523	1	1	53	4	2	28	1095	0
0.524	1	2	53	5	1	28	1095	0
0.524	1	1	53	5	2	28	1095	0
0.525	1	2	53	6	1	28	1095	0
0.525	1	1	53	6	2	28	1095	0
0.526	1	2	53	7	1	28	1095	0
0.526	1	1	53	7	2	28	1095	0
0.527	1	2	53	8	1	28	1095	0
0.527	1	1	53	8	2	28	1095	0
0.528	1	2	53	9	1	28	1095	0
0.528	1	1	53	9	2	28	1095	0
0.529	1	2	53	10	1	28	1095	0
0.529	1	1	53	10	2	28	1095	0
0.53	1	2	54	1	1	28	1095	0
0.53	1	1	54	1	2	28	1095	0
0.531	1	2	54	2	1	28	1095	0
0.531	1	1	54	2	2	28	1095	0
0.532	1	2	54	3	1	28	1095	0
0.532	1	1	54	3	2	28	1095	0
0.533	1	2	54	4	1	28	1095	0
0.533	1	1	54	4	2	28	1095	0
0.534	1	2	54	5	1	28	1095	0
0.534	1	1	54	5	2	28	1095	0
0.535	1	2	54	6	1	28	1095	0
0.535	1	1	54	6	2	28	1095	0
0.536	1	2	54	7	1	28	1095	0
0.536	1	1	54	7	2	28	1095	0
0.537	1	2	54	8	1	28	1095	0
0.537	1	1	54	8	2	28	1095	0
0.538	1	2	54	9	1	28	1095	0
0.538	1	1	54	9	2	28	1095	0
0.539	1	2	54	10	1	28	1095	0
0.539	1	1	54	10	2	28	1095	0
0.54	1	2	55	1	1	28	1095	0
0.54	1	1	55	1	2	28	1095	0
0.541	1	2	55	2	1	28	1095	0
0.541	1	1	55	2	2	28	1095	0
0.542	1	2	55	3	1	28	1095	0
0.542	1	1	55	3	2	28	1095	0
0.543	1	2	55	4	1	28	1095	0
0.543	1	1	55	4	2	28	1095	0
0.544	1	2	55	5	1	28	1095	0
0.544	1	1	55	5	2	28	1095	0
0.545	1	2	55	6	1	28	1095	0
0.545	1	1	55	6	2	28	1095	0
0.546	1	2	55	7	1	28	1095	0
0.546	1	1	55	7	2	28	1095	0
0.547	1	2	55	8	1	28	1095	0
0.547	1	1	55	8	2	28	1095	0
0.548	1	2	55	9	1	28	1095	0
0.548	1	1	55	9	2	28	1095	0
0.549	1	2	55	10	1	28	1095	0
0.549	1	1	55	10	2	28	1095	0
0.55	1	2	56	1	1	28	1095	0
0.55	1	1	56	1	2	28	1095	0
0.551	1	2	56	2	1	28	1095	0
0.551	1	1	56	2	2	28	1095	0
0.552	1	2	56	3	1	28	1095	0
0.552	1	1	56	3	2	28	1095	0
0.553	1	2	56	4	1	28	1095	0
0.553	1	1	56	4	2	28	1095	0
0.554	1	2	56	5	1	28	1095	0
0.554	1	1	56	5	2	28	1095	0
0.555	1	2	56	6	1	28	1095	0
0.555	1	1	56	6	2	28	1095	0
0.556	1	2	56	7	1	28	1095	0
0.556	1	1	56	7	2	28	1095	0
0.557	1	2	56	8	1	28	1095	0
0.557	1	1	56	8	2	28	1095	0
0.558	1	2	56	9	1	28	1095	0
0.558	1	1	56	9	2	28	1095	0
0.559	1	2	56	10	1	28	1095	0
0.559	1	1	56	10	2	28	1095	0
0.56	1	2	57	1	1	28	1095	0
0.56	1	1	57	1	2	28	1095	0
0.561	1	2	57	2	1	28	1095	0
0.561	1	1	57	2	2	28	1095	0
0.562	1	2	57	3	1	28	1095	0
0.562	1	1	57	3	2	28	1095	0
0.563	1	2	57	4	1	28	1095	0
0.563	1	1	57	4	2	28	1095	0
0.564	1	2	57	5	1	28	1095	0
0.564	1	1	57	5	2	28	1095	0
0.565	1	2	57	6	1	28	1095	0
0.565	1	1	57	6	2	28	1095	0
0.566	1	2	57	7	1	28	1095	0
0.566	1	1	57	7	2	28	1095	0
0.567	1	2	57	8	1	28	1095	0
0.567	1	1	57	8	2	28	1095	0
0.568	1	2	57	9	1	28	1095	0
0.568	1	1	57	9	2	28	1095	0
0.569	1	2	57	10	1	28	1095	0
0.569	1	1	57	10	2	28	1095	0
0.57	1	2	58	1	1	28	1095	0
0.57	1	1	58	1	2	28	1095	0
0.571	1	2	58	2	1	28	1095	0
0.571	1	1	58	2	2	28	1095	0
0.572	1	2	58	3	1	28	1095	0
0.572	1	1	58	3	2	28	1095	0
0.573	1	2	58	4	1	28	1095	0
0.573	1	1	58	4	2	28	1095	0
0.574	1	2	58	5	1	28	1095	0
0.574	1	1	58	5	2	28	1095	0
0.575	1	2	58	6	1	28	1095	0
0.575	1	1	58	6	2	28	1095	0
0.576	1	2	58	7	1	28	1095	0
0.576	1	1	58	7	2	28	1095	0
0.577	1	2	58	8	1	28	1095	0
0.577	1	1	58	8	2	28	1095	0
